Year,Waste Produced (Tons),County,Population,Electricity Usage (GWh)
2003.0,128904.85,Yuba,63349.0,158.191017
2004.0,1692478.59,Alameda,1466407.0,2897.764371
2004.0,1940.48,Alpine,1257.0,8.996372000000003
2004.0,40005.59,Amador,36961.0,135.64274
2004.0,227864.73,Butte,211419.0,689.675374
2004.0,48831.29,Calaveras,43554.0,189.230418
2004.0,21234.19,Colusa,19933.0,59.63039499999999
2004.0,1048201.57,Contra Costa,993958.0,2649.689498
2004.0,22994.68,Del Norte,28029.0,121.90901
2004.0,37985.31,El Dorado,168984.0,723.204229
2004.0,877489.51,Fresno,853057.0,2351.231518
2004.0,23391.71,Glenn,27210.0,87.45743399999998
2004.0,67266.52,Humboldt,130712.0,337.92236
2004.0,243789.32,Imperial,152420.0,478.09830199999993
2004.0,13158.82,Inyo,18533.0,57.01464
2004.0,831363.23,Kern,728872.0,1865.524074
2004.0,109198.2,Kings,140688.0,326.264427
2004.0,48181.03,Lake,62307.0,256.933198
2004.0,24618.68,Lassen,34313.0,102.440584
2004.0,12140163.62,Los Angeles,9806944.0,19507.01413
2004.0,126617.9,Madera,134645.0,373.159609
2004.0,225028.46,Marin,246990.0,687.5191
2004.0,11581.26,Mariposa,17818.0,67.74039599999999
2004.0,78924.95,Mendocino,88130.0,284.810627
2004.0,265342.11,Merced,232356.0,612.583276
2004.0,2.27,Modoc,9556.0,56.45333299999999
2004.0,27862.46,Mono,13650.0,92.486007
2004.0,447085.97,Monterey,411544.0,724.955009
2004.0,192344.82,Napa,129814.0,363.241524
2004.0,64259.42,Nevada,96540.0,398.248625
2004.0,4196808.89,Orange,2948135.0,6611.743915
2004.0,303304.35,Placer,296712.0,1215.313735
2004.0,253.84,Plumas,20824.0,101.277846
2004.0,2293982.84,Riverside,1814485.0,5018.687606
2004.0,1393964.46,Sacramento,1331910.0,4422.286081
2004.0,62117.58,San Benito,55374.0,117.398444
2004.0,2235251.83,San Bernardino,1875063.0,5044.577708
2004.0,4098640.55,San Diego,2953703.0,6330.979359
2004.0,691626.15,San Francisco,781308.0,1381.124787
2004.0,776938.85,San Joaquin,629787.0,1631.66988
2004.0,287765.77,San Luis Obispo,257045.0,636.73805
2004.0,744158.28,San Mateo,702254.0,1545.644545
2004.0,559084.38,Santa Barbara,410357.0,789.708713
2004.0,1394112.14,Santa Clara,1695602.0,3777.311967
2004.0,248200.17,Santa Cruz,254986.0,570.8417519999998
2004.0,188978.5,Shasta,172729.0,712.93153
2004.0,2387.9,Sierra,3506.0,15.111007
2004.0,21480.0,Siskiyou,44691.0,229.831935
2004.0,464464.21,Solano,410164.0,989.458865
2004.0,545535.79,Sonoma,469103.0,1225.967605
2004.0,297695.39,Stanislaus,486639.0,1618.95042
2004.0,51670.35,Tehama,58953.0,216.05948
2004.0,7389.0,Trinity,13453.0,8.393308
2004.0,384676.32,Tulare,395127.0,1046.677667
2004.0,49845.23,Tuolumne,56407.0,217.987055
2004.0,1038354.71,Ventura,792213.0,1743.596541
2004.0,211737.46,Yolo,184015.0,473.868053
2004.0,126818.31,Yuba,64604.0,171.569618
2005.0,1659523.24,Alameda,1462736.0,3025.149538
2005.0,1911.5,Alpine,1237.0,8.090874000000001
2005.0,53650.79,Amador,37434.0,134.397976
2005.0,220515.29,Butte,212955.0,685.81529
2005.0,53195.31,Calaveras,44348.0,187.91394
2005.0,24059.57,Colusa,20374.0,63.463197
2005.0,1086527.49,Contra Costa,1001216.0,2661.732269
2005.0,5759.25,Del Norte,28251.0,122.831577
2005.0,61386.17,El Dorado,171739.0,731.837794
2005.0,873200.31,Fresno,866058.0,2376.999918
2005.0,23288.67,Glenn,27394.0,89.31636999999998
2005.0,80493.55,Humboldt,131467.0,359.018784
2005.0,272995.86,Imperial,155793.0,486.203616
2005.0,19973.61,Inyo,18511.0,56.39479100000001
2005.0,859324.29,Kern,750969.0,1972.968734
2005.0,127358.08,Kings,143607.0,330.179973
2005.0,50447.73,Lake,62870.0,259.112988
2005.0,24382.81,Lassen,34552.0,105.257887
2005.0,13227651.14,Los Angeles,9816153.0,19711.007692
2005.0,144117.73,Madera,138174.0,381.247881
2005.0,237145.85,Marin,246688.0,689.467421
2005.0,15567.52,Mariposa,17965.0,67.383179
2005.0,73069.75,Mendocino,88129.0,295.320442
2005.0,290656.37,Merced,238069.0,620.906954
2005.0,34241.55,Mono,13763.0,94.847546
2005.0,468708.26,Monterey,409557.0,715.487081
2005.0,178357.53,Napa,130472.0,370.241766
2005.0,67255.71,Nevada,97454.0,397.557325
2005.0,4290785.15,Orange,2956847.0,6717.053806
2005.0,305694.06,Placer,307710.0,1262.665823
2005.0,147.45,Plumas,20880.0,102.503634
2005.0,2525910.5,Riverside,1895695.0,5391.986644
2005.0,1466809.2,Sacramento,1350523.0,4575.460578
2005.0,59804.25,San Benito,55221.0,115.986472
2005.0,2349002.83,San Bernardino,1921423.0,5241.942803
2005.0,4181732.39,San Diego,2966783.0,6327.821377
2005.0,675278.4,San Francisco,780187.0,1444.288311
2005.0,784407.78,San Joaquin,645059.0,1651.909646
2005.0,289226.93,San Luis Obispo,259213.0,651.061226
2005.0,760943.5,San Mateo,700350.0,1568.290704
2005.0,493219.95,Santa Barbara,411440.0,807.125288
2005.0,1443168.33,Santa Clara,1698234.0,3884.901278
2005.0,242151.18,Santa Cruz,254783.0,563.9562440000002
2005.0,186569.17,Shasta,173862.0,710.0807900000002
2005.0,3553.26,Sierra,3449.0,15.222732
2005.0,31496.7,Siskiyou,44865.0,235.506312
2005.0,456150.6,Solano,410985.0,999.957178
2005.0,532281.19,Sonoma,469734.0,1230.139195
2005.0,334500.68,Stanislaus,494144.0,1651.93615
2005.0,55546.41,Tehama,59976.0,214.094859
2005.0,7663.0,Trinity,13654.0,8.257783
2005.0,436935.69,Tulare,404148.0,1085.292205
2005.0,49302.83,Tuolumne,56411.0,213.704392
2005.0,1077746.64,Ventura,795962.0,1785.589
2005.0,220110.81,Yolo,186530.0,492.443526
2005.0,146772.0,Yuba,66478.0,183.273705
2006.0,1656037.42,Alameda,1462371.0,3118.114844
2006.0,2280.43,Alpine,1232.0,9.537211
2006.0,47717.35,Amador,37843.0,142.536257
2006.0,209180.07,Butte,214690.0,708.370307
2006.0,49476.53,Calaveras,45044.0,195.003642
2006.0,22395.07,Colusa,20729.0,64.98423199999999
2006.0,1000202.99,Contra Costa,1007169.0,2745.204011
2006.0,4.67,Del Norte,28296.0,127.833022
2006.0,85060.11,El Dorado,174218.0,759.990804
2006.0,877836.43,Fresno,879128.0,2489.8576
2006.0,22623.12,Glenn,27628.0,91.680584
2006.0,79730.56,Humboldt,131958.0,380.88288
2006.0,279427.12,Imperial,160088.0,527.4427559999998
2006.0,18596.58,Inyo,18442.0,52.922574
2006.0,880027.39,Kern,774062.0,2052.662008
2006.0,123428.2,Kings,146045.0,355.5293
2006.0,56646.47,Lake,63449.0,269.109576
2006.0,25152.27,Lassen,34769.0,106.148183
2006.0,11471878.22,Los Angeles,9798609.0,20377.012793
2006.0,160801.17,Madera,141693.0,399.809053
2006.0,243037.75,Marin,246969.0,704.836829
2006.0,16419.47,Mariposa,18150.0,69.947705
2006.0,82144.35,Mendocino,87802.0,313.996799
2006.0,278392.93,Merced,243072.0,654.636255
2006.0,38758.03,Mono,13975.0,83.811524
2006.0,448090.95,Monterey,406935.0,728.542315
2006.0,176033.93,Napa,131330.0,386.608605
2006.0,66843.63,Nevada,98068.0,411.598073
2006.0,3862255.02,Orange,2956334.0,6851.090583
2006.0,310750.26,Placer,317437.0,1334.479948
2006.0,137.97,Plumas,20785.0,103.44718
2006.0,2525589.34,Riverside,1975913.0,6902.348704000001
2006.0,1414023.86,Sacramento,1365214.0,4761.05977
2006.0,59444.48,San Benito,55025.0,118.452625
2006.0,2292245.48,San Bernardino,1959715.0,4977.35698
2006.0,3969057.94,San Diego,2976492.0,6717.916216
2006.0,695573.82,San Francisco,781295.0,1490.8571960000004
2006.0,785097.76,San Joaquin,656247.0,1715.330577
2006.0,274419.76,San Luis Obispo,260873.0,682.25067
2006.0,722542.79,San Mateo,699347.0,1597.440121
2006.0,442103.02,Santa Barbara,412271.0,773.05582
2006.0,1505661.26,Santa Clara,1706676.0,4091.192453
2006.0,221000.23,Santa Cruz,255107.0,568.045287
2006.0,187909.09,Shasta,174747.0,743.391257
2006.0,3461.03,Sierra,3427.0,14.853666
2006.0,34447.03,Siskiyou,44918.0,236.555105
2006.0,465661.79,Solano,410964.0,1052.939744
2006.0,499060.77,Sonoma,469751.0,1299.774533
2006.0,379150.14,Stanislaus,500780.0,1731.773691
2006.0,54648.64,Tehama,61000.0,227.490277
2006.0,8370.53,Trinity,13806.0,8.547757
2006.0,432089.02,Tulare,412239.0,1191.625171
2006.0,49027.1,Tuolumne,56506.0,219.307603
2006.0,1030471.45,Ventura,799049.0,1764.983602
2006.0,208364.11,Yolo,189078.0,511.7354150000001
2006.0,139649.21,Yuba,68464.0,193.655722
2007.0,1551102.75,Alameda,1470622.0,2971.652195
2007.0,2503.8,Alpine,1252.0,9.326645
2007.0,41209.97,Amador,38025.0,142.60943400000005
2007.0,216901.74,Butte,216401.0,714.856899
2007.0,49488.57,Calaveras,45477.0,199.915466
2007.0,22833.38,Colusa,21006.0,64.174329
2007.0,918530.47,Contra Costa,1015672.0,2738.380846
2007.0,3.68,Del Norte,28378.0,133.57967
2007.0,104112.36,El Dorado,176226.0,760.414893
2007.0,1101638.4,Fresno,893088.0,2522.010894
2007.0,20404.14,Glenn,27872.0,90.989488
2007.0,77741.59,Humboldt,132443.0,416.777097
2007.0,261322.34,Imperial,164707.0,522.128125
2007.0,18567.76,Inyo,18434.0,56.782707
2007.0,865305.61,Kern,795982.0,2091.54157
2007.0,120655.37,Kings,148933.0,346.7627700000001
2007.0,53671.66,Lake,63890.0,275.090388
2007.0,21404.4,Lassen,35379.0,104.115047
2007.0,10944053.47,Los Angeles,9780808.0,20536.164117
2007.0,137693.46,Madera,145163.0,408.070551
2007.0,229271.18,Marin,248025.0,704.254152
2007.0,14151.33,Mariposa,18310.0,72.428496
2007.0,72550.56,Mendocino,87617.0,330.976984
2007.0,257332.11,Merced,247542.0,658.0918839999998
2007.0,33536.81,Mono,14182.0,97.762323
2007.0,416300.49,Monterey,406890.0,741.587708
2007.0,153655.92,Napa,132537.0,377.571799
2007.0,60370.69,Nevada,98408.0,413.906031
2007.0,3548339.71,Orange,2960659.0,6867.8039530000015
2007.0,290955.72,Placer,325985.0,1327.086591
2007.0,623.04,Plumas,20654.0,103.560058
2007.0,2356738.91,Riverside,2049902.0,6682.669022
2007.0,1236456.41,Sacramento,1380172.0,4649.440614
2007.0,55684.12,San Benito,54948.0,119.25101200000002
2007.0,2171711.06,San Bernardino,1989690.0,4785.465239
2007.0,3730448.58,San Diego,2998477.0,6751.298154000001
2007.0,628864.02,San Francisco,787127.0,1467.239468
2007.0,776150.09,San Joaquin,665304.0,1700.603877
2007.0,263871.57,San Luis Obispo,262982.0,671.3158549999998
2007.0,677036.66,San Mateo,701838.0,1593.131096
2007.0,427429.73,Santa Barbara,414750.0,813.625428
2007.0,1417237.78,Santa Clara,1725066.0,3899.427232
2007.0,206971.52,Santa Cruz,256543.0,585.5214070000002
2007.0,186170.23,Shasta,175546.0,741.052583
2007.0,3925.29,Sierra,3384.0,16.766479
2007.0,33790.46,Siskiyou,44877.0,243.949282
2007.0,421837.87,Solano,411998.0,1011.912446
2007.0,445428.21,Sonoma,471479.0,1272.999943
2007.0,302650.81,Stanislaus,505959.0,1677.290518
2007.0,48038.81,Tehama,61777.0,230.516812
2007.0,8060.22,Trinity,13806.0,9.410292
2007.0,395371.85,Tulare,419842.0,1117.440744
2007.0,48453.02,Tuolumne,56347.0,223.186954
2007.0,959962.59,Ventura,803572.0,1840.880221
2007.0,198429.53,Yolo,192826.0,498.37799400000006
2007.0,145878.15,Yuba,69719.0,198.652701
2008.0,1337915.56,Alameda,1484085.0,2996.061668
2008.0,2146.22,Alpine,1228.0,8.899778
2008.0,35694.95,Amador,37975.0,144.10306699999995
2008.0,200763.27,Butte,217801.0,723.830546
2008.0,39706.27,Calaveras,45670.0,200.669688
2008.0,23746.21,Colusa,21145.0,64.22959499999999
2008.0,854936.55,Contra Costa,1027264.0,2785.188571
2008.0,116471.87,El Dorado,177897.0,771.294737
2008.0,859223.52,Fresno,906521.0,2550.992882
2008.0,21188.04,Glenn,28066.0,92.071723
2008.0,69300.78,Humboldt,132931.0,440.223551
2008.0,238781.7,Imperial,168495.0,502.316127
2008.0,16126.6,Inyo,18416.0,54.82624000000001
2008.0,794911.34,Kern,812830.0,2146.883253
2008.0,108334.92,Kings,151106.0,358.8646310000001
2008.0,48804.55,Lake,64178.0,284.691332
2008.0,22155.09,Lassen,35437.0,107.040965
2008.0,9926639.39,Los Angeles,9785474.0,21115.736666
2008.0,129800.35,Madera,147958.0,411.129655
2008.0,210849.43,Marin,249546.0,704.067834
2008.0,12830.46,Mariposa,18381.0,73.027354
2008.0,65401.13,Mendocino,87715.0,338.597555
2008.0,238882.52,Merced,250734.0,669.0148820000002
2008.0,28014.93,Mono,14143.0,92.54468
2008.0,387386.57,Monterey,409387.0,731.179752
2008.0,135517.62,Napa,133969.0,378.978643
2008.0,56210.8,Nevada,98581.0,421.111632
2008.0,3202870.04,Orange,2974321.0,7138.305305
2008.0,251583.13,Placer,333805.0,1360.497735
2008.0,56.41,Plumas,20483.0,103.610437
2008.0,2075923.75,Riverside,2102741.0,6772.256465
2008.0,1117330.59,Sacramento,1394510.0,4708.470665
2008.0,48794.94,San Benito,55022.0,117.510263
2008.0,1943398.93,San Bernardino,2009594.0,4913.287822
2008.0,3413957.15,San Diego,3032689.0,6916.536482
2008.0,594660.37,San Francisco,795002.0,1484.029752
2008.0,699621.14,San Joaquin,672492.0,1706.420641
2008.0,236892.0,San Luis Obispo,265505.0,672.8547219999998
2008.0,655537.5,San Mateo,707820.0,1612.678086
2008.0,422605.03,Santa Barbara,418309.0,815.568947
2008.0,1363751.11,Santa Clara,1747912.0,3954.19822
2008.0,186303.52,Santa Cruz,258737.0,586.742727
2008.0,167685.25,Shasta,176240.0,752.538602
2008.0,2759.0,Sierra,3314.0,14.503061
2008.0,32440.3,Siskiyou,44952.0,246.868028
2008.0,388312.79,Solano,412908.0,1029.977773
2008.0,400310.63,Sonoma,474819.0,1304.183595
2008.0,287700.06,Stanislaus,509389.0,1709.072802
2008.0,44438.3,Tehama,62365.0,234.109163
2008.0,8016.73,Trinity,13759.0,9.961227
2008.0,354404.17,Tulare,427531.0,1161.751981
2008.0,43291.76,Tuolumne,56098.0,224.797158
2008.0,869250.02,Ventura,808970.0,1891.100563
2008.0,185050.31,Yolo,196219.0,508.019185
2008.0,136830.69,Yuba,70820.0,200.069567
2009.0,1246311.26,Alameda,1497799.0,3016.259087
2009.0,1301.4,Alpine,1194.0,13.029405
2009.0,35134.5,Amador,37884.0,142.896522
2009.0,174646.05,Butte,218887.0,731.35321
2009.0,34121.28,Calaveras,45632.0,201.979922
2009.0,20896.41,Colusa,21221.0,65.571365
2009.0,726077.11,Contra Costa,1038390.0,2787.816964
2009.0,22.48,Del Norte,28565.0,132.95814099999998
2009.0,96471.59,El Dorado,179150.0,769.955199
2009.0,678890.74,Fresno,918560.0,2615.173548
2009.0,20878.98,Glenn,28088.0,93.510276
2009.0,72032.76,Humboldt,133484.0,461.947621
2009.0,206589.27,Imperial,171670.0,514.217101
2009.0,17607.38,Inyo,18416.0,58.20880500000001
2009.0,752752.16,Kern,825503.0,2171.316148
2009.0,98501.63,Kings,151816.0,364.876777
2009.0,42824.32,Lake,64384.0,289.270152
2009.0,20609.03,Lassen,34947.0,106.515246
2009.0,8688818.26,Los Angeles,9801096.0,20590.377892
2009.0,120676.23,Madera,149632.0,415.160176
2009.0,179919.32,Marin,250760.0,707.9381099999998
2009.0,11330.11,Mariposa,18334.0,72.818841
