County,Year,Electricity Usage (GWh)
Merced,2014,718.4812820000001
Modoc,2014,53.515556999999994
Mono,2014,87.69288399999999
Monterey,2014,684.290192
Napa,2014,364.662282
Nevada,2014,407.094148
Orange,2014,7032.7346959999995
Placer,2014,1370.790232
Plumas,2014,98.122899
Riverside,2014,6763.139781
Sacramento,2014,4708.0981329999995
San Benito,2014,115.49750900000001
San Bernardino,2014,4749.693015999999
San Diego,2014,6855.540414
San Francisco,2014,1436.097607
San Joaquin,2014,1762.8874879999998
San Luis Obispo,2014,629.9200089999999
San Mateo,2014,1505.2698619999999
Santa Barbara,2014,804.131553
Santa Clara,2014,3844.162094
Santa Cruz,2014,558.75025
Shasta,2014,724.0686910000001
Sierra,2014,13.27525
Siskiyou,2014,215.40796600000002
Solano,2014,1007.8038740000001
Sonoma,2014,1286.568562
Stanislaus,2014,1716.5681600000003
Sutter,2014,276.569295
Tehama,2014,231.001181
Trinity,2014,10.266434
Tulare,2014,1221.371347
Tuolumne,2014,206.254682
Ventura,2014,1904.7917530000002
Yolo,2014,507.245608
Yuba,2014,214.329404
Alameda,2013,2984.2136769999997
Alpine,2013,13.424431
Amador,2013,139.472718
Butte,2013,729.845116
Calaveras,2013,199.732952
Colusa,2013,64.770037
Contra Costa,2013,2765.959761
Del Norte,2013,126.533004
El Dorado,2013,756.189231
Fresno,2013,2687.6511
Glenn,2013,92.80672
Humboldt,2013,441.83383
Imperial,2013,530.486395
Inyo,2013,60.135328
Kern,2013,2269.736309
Kings,2013,371.162072
Lake,2013,302.323175
Lassen,2013,104.522248
Los Angeles,2013,20611.287007
Madera,2013,429.067921
Marin,2013,684.0898480000001
Mariposa,2013,71.674818
Mendocino,2013,324.404441
Merced,2013,697.945877
Modoc,2013,61.09184499999999
Mono,2013,98.881323
Monterey,2013,722.432834
Napa,2013,374.770591
Nevada,2013,422.777662
Orange,2013,6838.286644
Placer,2013,1367.826796
Plumas,2013,101.183276
Riverside,2013,6599.335387
Sacramento,2013,4671.237204
San Benito,2013,119.711875
San Bernardino,2013,4684.068636999999
San Diego,2013,6805.2643370000005
San Francisco,2013,1501.0012140000001
San Joaquin,2013,1738.584773
San Luis Obispo,2013,659.569139
San Mateo,2013,1572.6165310000001
Santa Barbara,2013,831.170157
Santa Clara,2013,3912.690376
Santa Cruz,2013,595.843339
Shasta,2013,747.931837
Sierra,2013,13.903601
Siskiyou,2013,232.47330899999997
Solano,2013,1020.479823
Sonoma,2013,1346.762575
